,Артикул,Для кого,Примерный вес,Тип металла,Проба,Покрытие,Тип вставки,Форма вставки,Количество,Цвет,Вес,Ширина кольца,Ширина,Высота,Номер страницы,Цена со скидкой,Цена без скидки
53,716094,Для женщин,1.64,Красное золото,585.0,Неизвестно,Агат,Круг,1.0,Чёрный,0.893,2.0,10.0,3.0,2,28350,62990
54,716774,Для женщин,1.48,Красное золото,585.0,Неизвестно,Раухтопаз,Круг,1.0,Коричневый,0.763,1.0,7.0,4.0,2,21600,47990
55,716837,Для женщин,1.94,Красное золото,585.0,Неизвестно,Раухтопаз,Октагон,1.0,Коричневый,1.393,1.0,8.0,5.0,2,29250,64990
56,017958-3,Для женщин,1.16,Белое золото,585.0,Родирование,Фианит,Круг,1.0,Бесцветный,0.846,2.4602927436935533,7.272491669751944,3.3737936154417225,2,19350,42990
57,018006,Для женщин,1.76,Белое золото,585.0,Родирование,Фианит,Круг,79.0,Бесцветный,0.672,2.4602927436935533,7.272491669751944,3.3737936154417225,2,28350,62990
58,019290-3,Для женщин,1.86,Белое золото,585.0,Родирование,Фианит,Круг,1.0,Бесцветный,1.435,1.0,7.272491669751944,3.3737936154417225,2,27000,59990
59,019454,Для женщин,3.2,Красное золото,585.0,Родирование,Фианит,Круг,1.0,Бесцветный,0.201,2.0,7.272491669751944,3.3737936154417225,2,33000,109990
60,019429,Для женщин,2.76,Красное золото,585.0,Родирование,Фианит,Круг,1.0,Бесцветный,0.122,2.0,7.272491669751944,3.3737936154417225,2,33000,109990
61,019347,Для женщин,1.53,Красное золото,585.0,Неизвестно,Фианит,Круг,1.0,Бесцветный,0.066,1.0,7.272491669751944,3.3737936154417225,2,19350,42990
62,019442,Для женщин,3.23,Красное золото,585.0,Родирование,Фианит,Круг,64.0,Бесцветный,0.64,5.0,7.272491669751944,3.3737936154417225,2,44100,97990
63,019450,Для женщин,1.85,Красное золото,585.0,Родирование,Фианит,Круг,18.0,Бесцветный,0.18,3.0,7.272491669751944,3.3737936154417225,2,31500,69990
64,019252,Для женщин,2.32,Красное золото,585.0,Родирование,Фианит,Круг,14.0,Бесцветный,0.917,4.0,4.0,2.0,2,31500,69990
65,019477,Для женщин,2.25,Красное золото,585.0,Родирование,Фианит,Круг,25.0,Бесцветный,0.25,4.0,4.0,2.0,2,31500,69990
66,019485,Для женщин,2.3,Красное золото,585.0,Родирование,Фианит,Круг,47.0,Бесцветный,0.47,3.0,5.0,2.0,2,31500,69990
67,019254,Для женщин,1.72,Красное золото,585.0,Неизвестно,Без вставок,Без вставок,0.0,Без вставок,0.0,2.0,7.0,3.0,3,23850,52990
68,019417,Для женщин,2.86,Красное золото,585.0,Неизвестно,Без вставок,Без вставок,0.0,Без вставок,0.0,4.0,7.272491669751944,3.3737936154417225,3,41850,92990
69,019296,Для женщин,3.21,Красное золото,585.0,Алмазная грань,Без вставок,Без вставок,0.0,Без вставок,0.0,6.0,6.0,1.0,3,41850,92990
70,019342,Для женщин,2.72,Красное золото,585.0,Алмазная грань,Без вставок,Без вставок,0.0,Без вставок,0.0,3.0,7.0,2.0,3,38250,84990
71,019471,Для женщин,2.24,Красное золото,585.0,"Алмазная грань,  Родирование",Без вставок,Без вставок,0.0,Без вставок,0.0,2.0,7.272491669751944,3.3737936154417225,3,27000,89990
72,019268,Для женщин,1.32,Красное золото,585.0,"Алмазная грань,  Родирование",Без вставок,Без вставок,0.0,Без вставок,0.0,1.0,4.0,1.0,3,21600,47990
