,Артикул,Для кого,Примерный вес,Тип металла,Проба,Покрытие,Тип вставки,Форма вставки,Количество,Цвет,Вес,Ширина кольца,Ширина,Высота,Номер страницы,Цена со скидкой,Цена без скидки
3860,019146-2,Для женщин,1.11,Жёлтое золото,585.0,Неизвестно,Без вставок,Без вставок,0.0,Без вставок,0.0,5.0,5.0,1.0,127,17100,37990
3861,019147-2,Для женщин,1.32,Жёлтое золото,585.0,Родирование,Фианит,Круг,1.0,Бесцветный,0.201,2.4602927436935533,7.272491669751944,3.3737936154417225,127,10500,34990
3862,019147-3,Для женщин,1.34,Белое золото,585.0,Родирование,Фианит,Круг,1.0,Бесцветный,0.201,2.4602927436935533,7.272491669751944,3.3737936154417225,127,17100,37990
3863,019149-2,Для женщин,2.39,Жёлтое золото,585.0,Родирование,Фианит,Круг,1.0,Бесцветный,1.455,2.4602927436935533,7.272491669751944,3.3737936154417225,127,31500,69990
3864,019154-2,Для женщин,1.23,Жёлтое золото,585.0,Родирование,Фианит,Круг,7.0,Бесцветный,0.459,2.4602927436935533,7.272491669751944,3.3737936154417225,127,11700,25990
3865,019158-2,Для женщин,1.56,Жёлтое золото,585.0,Родирование,Фианит,Круг,1.0,Бесцветный,0.618,2.4602927436935533,7.272491669751944,3.3737936154417225,127,17100,37990
3866,019159-2,Для женщин,1.42,Жёлтое золото,585.0,Родирование,Фианит,Круг,1.0,Бесцветный,0.846,2.4602927436935533,7.272491669751944,3.3737936154417225,127,14850,32990
3867,019163-2,Для женщин,1.36,Жёлтое золото,585.0,Родирование,Фианит,Круг,1.0,Бесцветный,0.451,2.4602927436935533,7.272491669751944,3.3737936154417225,127,13500,29990
3868,019164-2,Для женщин,1.73,Жёлтое золото,585.0,Родирование,Фианит,Круг,1.0,Бесцветный,0.846,2.0,5.0,5.0,127,18000,39990
3869,019164-3,Для женщин,1.69,Белое золото,585.0,Родирование,Фианит,Круг,1.0,Бесцветный,0.846,2.4602927436935533,7.272491669751944,3.3737936154417225,127,18000,39990
3870,019166-2,Для женщин,2.58,Жёлтое золото,585.0,Неизвестно,Фианит,Круг,1.0,Бесцветный,0.846,2.0,6.0,5.0,127,31500,69990
3871,019172-2,Для женщин,1.5,Жёлтое золото,585.0,Неизвестно,Без вставок,Без вставок,0.0,Без вставок,0.0,1.0,2.0,2.0,127,21600,47990
